period|nome|value|id
1960.01|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|9,4436E-13|33593
1960.02|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|9,6760E-13|33593
1960.03|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|9,8213E-13|33593
1960.04|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|9,9811E-13|33593
1960.05|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|9,9957E-13|33593
1960.06|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,0054E-12|33593
1960.07|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,0257E-12|33593
1960.08|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,0562E-12|33593
1960.09|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,0984E-12|33593
1960.10|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,1536E-12|33593
1960.11|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,1884E-12|33593
1960.12|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,2131E-12|33593
1961.01|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,2364E-12|33593
1961.02|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,2407E-12|33593
1961.03|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,2669E-12|33593
1961.04|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,3294E-12|33593
1961.05|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,3483E-12|33593
1961.06|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,3686E-12|33593
1961.07|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,3889E-12|33593
1961.08|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,4616E-12|33593
1961.09|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,5226E-12|33593
1961.10|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,6490E-12|33593
1961.11|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,7289E-12|33593
1961.12|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,7928E-12|33593
1962.01|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,8873E-12|33593
1962.02|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,9192E-12|33593
1962.03|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,9512E-12|33593
1962.04|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|1,9672E-12|33593
1962.05|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,0456E-12|33593
1962.06|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,1095E-12|33593
1962.07|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,2054E-12|33593
1962.08|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,2679E-12|33593
1962.09|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,3159E-12|33593
1962.10|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,3798E-12|33593
1962.11|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,5576E-12|33593
1962.12|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,7180E-12|33593
1963.01|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|2,9559E-12|33593
1963.02|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,1318E-12|33593
1963.03|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,3050E-12|33593
1963.04|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,3567E-12|33593
1963.05|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,4938E-12|33593
1963.06|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,6697E-12|33593
1963.07|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,8067E-12|33593
1963.08|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|3,9464E-12|33593
1963.09|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|4,1636E-12|33593
1963.10|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|4,4196E-12|33593
1963.11|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|4,6162E-12|33593
1963.12|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|4,8903E-12|33593
1964.01|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,4411E-12|33593
1964.02|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|5,8084E-12|33593
1964.03|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|6,2402E-12|33593
1964.04|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|6,5144E-12|33593
1964.05|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|6,6902E-12|33593
1964.06|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|6,9799E-12|33593
1964.07|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|7,4298E-12|33593
1964.08|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|7,6471E-12|33593
1964.09|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|7,9341E-12|33593
1964.10|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|8,2884E-12|33593
1964.11|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|8,8651E-12|33593
1964.12|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|9,3953E-12|33593
1965.01|Preços - IGP-DI - geral - índice (ago. 1994 = 100)|9,8478E-12|33593
