tempo|week|week_int|year|account_id|account_name|webproperty_id|webproperty_name|webproperty_level|webproperty_website_url|profile_currency|profile_type|profile_website_url|profile_id|profile_name|users|bounces|new_users|pageviews|sessions|time_on_page|unique_pageviews|upload_time|info|period
20201229|53|0004|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|8|8|6|8|8|0.0|8|2021-02-21 22:58:32.426159|basic|day
20201230|53|0004|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|13|14|9|14|14|0.0|14|2021-02-21 22:58:32.426159|basic|day
20201231|53|0004|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|170574025|"03|Novo Funil"|4|4|4|6|5|6.0|6|2021-02-21 22:58:32.426159|basic|day
20201201|49|0000|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|178705258|Teste|15|16|9|18|17|154.0|17|2021-02-21 22:58:32.426159|basic|day
20201202|49|0000|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|178705258|Teste|16|14|5|19|16|2447.0|16|2021-02-21 22:58:32.426159|basic|day
20201203|49|0000|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|178705258|Teste|7|7|5|7|7|0.0|7|2021-02-21 22:58:32.426159|basic|day
20201204|49|0000|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|178705258|Teste|17|18|12|20|19|47.0|19|2021-02-21 22:58:32.426159|basic|day
20201205|49|0000|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|178705258|Teste|9|9|3|11|10|1234.0|10|2021-02-21 22:58:32.426159|basic|day
20201206|49|0001|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|178705258|Teste|4|4|4|4|4|0.0|4|2021-02-21 22:58:32.426159|basic|day
20201207|50|0001|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|178705258|Teste|16|15|11|20|17|2209.0|17|2021-02-21 22:58:32.426159|basic|day
20201208|50|0001|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|178705258|Teste|13|14|8|14|14|0.0|14|2021-02-21 22:58:32.426159|basic|day
20201209|50|0001|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|178705258|Teste|12|11|7|16|13|264.0|14|2021-02-21 22:58:32.426159|basic|day
20201210|50|0001|2020|51583031|R&D BR - Hotsite Santander|UA-51583031-14|Solicite seu cartão|PREMIUM|https://www.soliciteseucartao.com.br|USD|WEB|https://www.soliciteseucartao.com.br|178705258|Teste|20|20|16|22|21|6.0|22|2021-02-21 22:58:32.426159|basic|day
