ano_mes|year|page_path|account_id|account_name|webproperty_id|webproperty_name|webproperty_level|webproperty_website_url|profile_currency|profile_type|profile_website_url|profile_id|profile_name|users|bounces|new_users|pageviews|sessions|time_on_page|unique_pageviews|upload_time|info|period
12|2020|/poa/o-farol/subsolo?utm_mmm=:m6569-g16506-p16506[t550]5948:&utm_adid=m6569-16506-1&utm_publisher_id=|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|17|18|16|18|18|0.0|18|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/o-farol/subsolo?utm_mmm=:m6569-g16538-p16538[t550]5948:&utm_adid=m6569-16538-1&utm_publisher_id=|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|14|13|13|15|14|551.0|14|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/planeje-sua-visita|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|535|73|49|691|79|34357.0|567|2021-02-21 23:33:18.052801|basic|month
12|2020|/poa/sobre|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|90|9|6|105|11|3138.0|95|2021-02-21 23:33:18.052801|basic|month
12|2020|/sp|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|18555|976|1043|32484|2383|1012711.0|22560|2021-02-21 23:33:18.052801|basic|month
12|2020|"/sp?amp;amp;utm_medium=social-ads&amp;amp;utm_campaign=caps|pf|awar|face-feeds|farol-snt|cpm|na|snt|rede-social|interesses&amp;amp;utm_content=espacomemoria|farol-snt|interesses|artes-e-exposicoes|video|caps-haus|social-ads|m6290-15466-1&amp;amp;utm_mmm=:m6290-g15466-p15466[t550]5680:&amp;amp;utm_adid=m6290-15466-1&amp;amp;utm_publisher_id=&amp;amp;utm_id=fb_cmp-{{campaign.id}}_adg-{{adset.id}}_ad-{{ad.id}}"|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|1|1|1|1|1|0.0|1|2021-02-21 23:33:18.052801|basic|month
12|2020|"/sp?amp;amp;utm_medium=social-ads&amp;amp;utm_campaign=caps|pf|awar|face-feeds|farol-snt|cpm|na|snt|rede-social|interesses&amp;amp;utm_content=tbtnovoespacofarol|farol-snt|interesses|artes-e-exposicoes|video|caps-haus|social-ads|m6290-15467-1&amp;amp;utm_mmm=:m6290-g15467-p15467[t550]5680:&amp;amp;utm_adid=m6290-15467-1&amp;amp;utm_publisher_id=&amp;amp;utm_id=fb_cmp-{{campaign.id}}_adg-{{adset.id}}_ad-{{ad.id}}"|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|3|3|3|4|4|23.0|4|2021-02-21 23:33:18.052801|basic|month
12|2020|"/sp?amp;amp;utm_medium=social-ads&amp;amp;utm_campaign=caps|pf|awar|face-instagram|farol-snt|cpm|na|snt|rede-social|interesses&amp;amp;utm_content=coberturaexfinito|farol-snt|interesses|artes-e-exposicoes|video|caps-haus|social-ads|m6569-16785-1&amp;amp;utm_mmm=:m6569-g16785-p16785[t550]5948:&amp;amp;utm_adid=m6569-16785-1&amp;amp;utm_publisher_id=&amp;amp;utm_id=fb_cmp-{{campaign.id}}_adg-{{adset.id}}_ad-{{ad.id}}"|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|18|22|16|26|24|1436.0|24|2021-02-21 23:33:18.052801|basic|month
12|2020|"/sp?amp;amp;utm_medium=social-ads&amp;amp;utm_campaign=caps|pf|awar|face-stories|farol-snt|cpm|na|snt|rede-social|interesses&amp;amp;utm_content=aberturafarollojafarol|farol-snt|interesses|artes-e-exposicoes|video|caps-haus|social-ads|m6569-16220-1&amp;amp;utm_mmm=:m6569-g16220-p16220[t550]5948:&amp;amp;utm_adid=m6569-16220-1&amp;amp;utm_publisher_id=&amp;amp;utm_id=fb_cmp-{{campaign.id}}_adg-{{adset.id}}_ad-{{ad.id}}"|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|263|342|195|395|365|4420.0|367|2021-02-21 23:33:18.052801|basic|month
12|2020|"/sp?amp;amp;utm_medium=social-ads&amp;amp;utm_campaign=caps|pf|awar|face-stories|farol-snt|cpm|na|snt|rede-social|interesses&amp;amp;utm_content=coberturaexfinito|farol-snt|interesses|artes-e-exposicoes|video|caps-haus|social-ads|m6569-16491-2&amp;amp;utm_mmm=:m6569-g16491-p16491[t550]5948:&amp;amp;utm_adid=m6569-16491-2&amp;amp;utm_publisher_id=&amp;amp;utm_id=fb_cmp-{{campaign.id}}_adg-{{adset.id}}_ad-{{ad.id}}"|101785796|BR - Santander|UA-101785796-8|BR - Santander - Farol Santander|STANDARD|https://www.farolsantander.com.br|BRL|WEB|https://www.farolsantander.com.br|218018311|All Website data|232|290|163|331|311|2668.0|311|2021-02-21 23:33:18.052801|basic|month
